"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Amphibole"" title=""Amphibole"">amphibole</a>"|"
<dd class=""glossary"">An important group of dark-coloured, rock-forming silicate minerals, including <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, the commonest.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Amphibolite"" title=""Amphibolite"">amphibolite</a>"|"
<dd class=""glossary"">A crystalline, coarse-grained rock, containing amphibole as an essential constituent, together with feldspar and frequently garnet. Like hornblende schist, amphibolite is formed by regional metamorphism of basic igneous rocks, but is not foliated.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Amygdule"" title=""Amygdule"">amygdaloidal</a>"|"
<dd class=""glossary"">Amygdules or amygdales form when the gas bubbles or vesicles in volcanic lava (or other extrusive igneous rocks) are infilled with a secondary mineral such as calcite, quartz, chlorite or one of the zeolites. Rocks containing amygdules can be described as amygdaloidal.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Anatexis"" title=""Anatexis"">anatexis</a>"|"
<dd class=""glossary"">Melting of pre-existing rock. Compare <a href=""#metatexis""><span title=""See entry on this page at § metatexis"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">metatexis</span></a>, <a href=""#diatexis""><span title=""See entry on this page at § diatexis"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">diatexis</span></a>, and <a href=""#syntexis""><span title=""See entry on this page at § syntexis"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">syntexis</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Andalusite"" title=""Andalusite"">andalusite</a>"|"
<dd class=""glossary"">One of several crystalline forms of aluminium silicate; a characteristic product if the contact metamorphism of argillaceous rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Andesite"" title=""Andesite"">andesite</a>"|"
<dd class=""glossary"">Fine-grained igneous rock of intermediate composition. Up to half of the rock is <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> feldspar with the rest being ferromagnesian minerals.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Angular_unconformity"" class=""mw-redirect"" title=""Angular unconformity"">angular unconformity</a>"|"
<dd class=""glossary"">An unconformity in which younger strata overlie an <a href=""https://en.wikipedia.org/wiki/Erosion_surface"" title=""Erosion surface"">erosion surface</a> on tilted of folded layered rock.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Anorthite"" title=""Anorthite"">anorthite</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called <b>Indianite</b>.</span></p>
<dd class=""glossary"">A mineral from the lime-rich end of the <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> group of minerals. Anorthites are usually <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicates</span></a> of <a href=""https://en.wikipedia.org/wiki/Calcium"" title=""Calcium"">calcium</a> and <a href=""https://en.wikipedia.org/wiki/Aluminium"" title=""Aluminium"">aluminium</a> occurring in some basic <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rocks</span></a>, typically those produced by the contact metamorphism of impure calcareous sediments.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Anticline"" title=""Anticline"">anticline</a>"|"
<dd class=""glossary"">An arched fold in which the layers usually dip away from the fold axis. Contrast <i><a href=""#syncline""><span title=""See entry on this page at § syncline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">syncline</span></a></i>.</dd>
"
"aphanic"|"
<dd class=""glossary"">Having the texture of <a href=""#carbonate""><span title=""See entry on this page at § carbonate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">carbonate</span></a> <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rocks</span></a> characterized by individual crystals or clastic grains less than 0.01 mm in diameter.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Aphanitic"" class=""mw-redirect"" title=""Aphanitic"">aphanitic</a>"|"
<dd class=""glossary"">Said of the texture of igneous rock in which the crystalline components are not distinguishable by the naked eye. Both microcrystalline and cryptocrystalline textures are included.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Aplogranite&amp;action=edit&amp;redlink=1"" class=""new"" title=""Aplogranite (page does not exist)"">aplogranite</a>"|"
<dd class=""glossary"">A light-coloured rock of granitic texture consisting mainly of alkali feldspar and quartz, with subordinate biotite; <a href=""#muscovite""><span title=""See entry on this page at § muscovite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">muscovite</span></a> may be present.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Aquifer"" title=""Aquifer"">aquifer</a>"|"
<dd class=""glossary"">A body of saturated rock or sediment through which water can move readily.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Aragonite_sea"" title=""Aragonite sea"">aragonite sea</a>"|"
<dd class=""glossary"">Contains <a href=""#aragonite""><span title=""See entry on this page at § aragonite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">aragonite</span></a> and high-magnesium calcite as the primary inorganic carbonate precipitates.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Archean_Eon"" class=""mw-redirect"" title=""Archean Eon"">Archean Eon</a>"|"
<dd class=""glossary"">The oldest eon of the Earth's history.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Archipelago"" title=""Archipelago"">archipelago</a>"|"
<dd class=""glossary"">A chain or cluster of islands.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Arenaceous"" class=""mw-redirect"" title=""Arenaceous"">arenaceous</a>"|"
<dd class=""glossary"">Sediments consisting essentially of sand grains, that is, of quartz and rock fragments down to 0.005mm in size. Conglomerates, sandstones, grits and siltstones fall into this category Particle size 2mm to 1/16mm.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Arenite"" title=""Arenite"">arenite</a>"|"
<dd class=""glossary"">1.&#160;&#160;General term for consolidated sedimentary rock composed of sand sized fragments.</dd>
<dd class=""glossary"">2.&#160;&#160;“Clean” sandstone, well-sorted, less than 10% <a href=""#argillaceous""><span title=""See entry on this page at § argillaceous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">argillaceous</span></a> matrix. Opposite to Wacke.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Arenite"" title=""Arenite"">arenitic</a>"|"
<dd class=""glossary"">Pertaining to, having the quality of, or resembling <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstone</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Arkose"" title=""Arkose"">arkose</a>"|"
<dd class=""glossary"">An <a href=""#arenaceous""><span title=""See entry on this page at § arenaceous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">arenaceous</span></a> <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a>. Like <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstone</span></a> in its general character but containing <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a> to at least 10%. Formed by the disintegration of the acid igneous rocks and <a href=""#gneiss""><span title=""See entry on this page at § gneiss"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">gneisses</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Argillaceous"" class=""mw-redirect"" title=""Argillaceous"">argillaceous</a>"|"
<dd class=""glossary"">Sedimentary rocks of the clay grade, i.e. composed of minute mineral fragments and crystals less than 0.005 mm in diameter, as well as large amounts of colloidal material. Apart from finely divided detrital matter, they consist of the so-called clay minerals, such as <a href=""https://en.wikipedia.org/wiki/Montmorillonite"" title=""Montmorillonite"">montmorillonite</a>, <a href=""https://en.wikipedia.org/wiki/Kaolinite"" title=""Kaolinite"">kaolinite</a>, <a href=""https://en.wikipedia.org/wiki/Gibbsite"" title=""Gibbsite"">gibbsite</a> and <a href=""https://en.wikipedia.org/wiki/Diaspore"" title=""Diaspore"">diaspore</a>. <a href=""#siltstone""><span title=""See entry on this page at § siltstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Siltstones</span></a>, <a href=""#mudstone""><span title=""See entry on this page at § mudstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mudstones</span></a>, <a href=""#shale""><span title=""See entry on this page at § shale"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">shales</span></a>, <a href=""#clay""><span title=""See entry on this page at § clay"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">clays</span></a>, etc. may all be referred to as argillaceous.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Volcanic_ash"" title=""Volcanic ash"">ash</a>"|"
<dd class=""glossary"">Fragments less than 2&#160;mm (0.079&#160;in) in diameter of pulverized rock, minerals and volcanic glass, created during volcanic eruptions.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Asphalt"" title=""Asphalt"">asphalt</a>"|"
<dd class=""glossary"">A sticky, black and highly viscous liquid or semi-solid that is present in most crude <a href=""https://en.wikipedia.org/wiki/Petroleum"" title=""Petroleum"">petroleums</a> and in some natural deposits.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Assembled_gem"" title=""Assembled gem"">assembled gem</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called a <b>composite gem</b>.</span></p>
<dd class=""glossary""></dd>
"
"<a href=""https://en.wikipedia.org/wiki/Asthenosphere"" title=""Asthenosphere"">asthenosphere</a>"|"
<dd class=""glossary"">A region of the Earth's outer shell beneath the <a href=""#lithosphere""><span title=""See entry on this page at § lithosphere"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lithosphere</span></a>. The asthenosphere is of indeterminate thickness and behaves plastically.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Augite"" title=""Augite"">augite</a>"|"
<dd class=""glossary"">A complex aluminous silicate of calcium, iron and magnesium, crystallising in the <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> system, and occurring in many igneous rocks, particularly those of basic composition. It is an essential component of <a href=""#basalt""><span title=""See entry on this page at § basalt"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">basalt</span></a>, <a href=""#dolerite""><span title=""See entry on this page at § dolerite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">dolerite</span></a> and <a href=""#gabbro""><span title=""See entry on this page at § gabbro"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">gabbro</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Aureole"" class=""mw-redirect"" title=""Aureole"">aureole</a>"|"
<dd class=""glossary"">A zone surrounding an igneous intrusion in which <a href=""#country_rock""><span title=""See entry on this page at § country rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">country rock</span></a> shows effects of <a href=""#contact_metamorphism""><span title=""See entry on this page at § contact metamorphism"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">contact metamorphism</span></a>.</dd>
"
"<a href=""https://en.wiktionary.org/wiki/autochthonous"" class=""extiw"" title=""wikt:autochthonous"">autochthon</a>"|"
<dd class=""glossary"">A fossil, sediment, or rock that was formed or produced in the location where it is now found. The term is widely applied to a <a href=""https://en.wikipedia.org/wiki/Coal"" title=""Coal"">coal</a> or <a href=""https://en.wikipedia.org/wiki/Peat"" title=""Peat"">peat</a> that originated at the place where the plants comprising it grew and decayed and to rocks that have not been displaced by overthrust faulting. An object of this type is referred to as autochthonous. Contrast <i><a href=""#allochthon""><span title=""See entry on this page at § allochthon"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">allochthon</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Banded_iron_formation"" title=""Banded iron formation"">banded iron formation</a>"|"
<dd class=""glossary"">A distinctive type of rock often found in primordial sedimentary rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Basalt"" title=""Basalt"">basalt</a>"|"
<dd class=""glossary"">A fine-grained, mafic igneous rock composed predominantly of ferromagnesian minerals and with lesser amounts of calcium-rich <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> feldspar.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Basement_rock"" class=""mw-redirect"" title=""Basement rock"">basement rock</a>"|"
<dd class=""glossary"">The thick foundation of ancient, and oldest metamorphic and igneous rock that forms the crust of continents, often in the form of granite.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Basic_rock"" class=""mw-redirect"" title=""Basic rock"">basic rock</a>"|"
<dd class=""glossary"">Igneous rock with low silica content (&lt;54%). The groups ultrabasic, basic, intermediate and acid constitute a series with progressively increasing SiO<sub>2</sub> content.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Drainage_basin"" title=""Drainage basin"">basin</a>"|"
<dd class=""glossary"">A landform scooped out by water erosion.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Basin_and_Range_Province"" title=""Basin and Range Province"">Basin and Range Province</a>"|"
<dd class=""glossary"">A particular <a href=""#topography""><span title=""See entry on this page at § topography"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">topography</span></a> covering much of the southwestern United States and northwestern Mexico that is typified by elongate north-south trending arid valleys bounded by mountain ranges which also bound adjacent valleys.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Batholith"" title=""Batholith"">batholith</a>"|"
<dd class=""glossary"">A large discordant <a href=""#pluton""><span title=""See entry on this page at § pluton"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pluton</span></a> with an outcropping area greater than 100 square kilometres (39&#160;sq&#160;mi).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Bedrock"" title=""Bedrock"">bedrock</a>"|"
<dd class=""glossary"">Native consolidated rock underlying the loose rock or soil surface of the Earth.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Before_Present"" title=""Before Present"">Before Present</a> (BP)"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Bioerosion"" title=""Bioerosion"">bioerosion</a>"|"
<dd class=""glossary"">The erosion of hard ocean substrates by living organisms through various biological mechanisms.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Biostratigraphy"" title=""Biostratigraphy"">biostratigraphy</a>"|"
<dd class=""glossary"">A branch of stratigraphy which focuses on correlating and assigning relative ages of rock strata by using the fossil assemblages contained within them.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Biostratinomy"" title=""Biostratinomy"">biostratinomy</a>"|"
<dd class=""glossary"">The study of the processes that take place after an organism dies but before its final burial.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Biotite"" title=""Biotite"">biotite</a>"|"
<dd class=""glossary"">A form of black <a href=""#mica""><span title=""See entry on this page at § mica"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mica</span></a> widely distributed in igneous rocks (particularly in <a href=""#granite""><span title=""See entry on this page at § granite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">granites</span></a>) as lustrous black crystals, with a singularly perfect <a href=""#cleavage""><span title=""See entry on this page at § cleavage"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">cleavage</span></a>. In composition it is a complex <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicate</span></a>, chiefly of <a href=""https://en.wikipedia.org/wiki/Iron"" title=""Iron"">iron</a> and <a href=""https://en.wikipedia.org/wiki/Magnesium"" title=""Magnesium"">magnesium</a>, together with <a href=""https://en.wikipedia.org/wiki/Potassium"" title=""Potassium"">potassium</a> and <a href=""https://en.wikipedia.org/wiki/Hydroxyl"" class=""mw-redirect"" title=""Hydroxyl"">hydroxyl</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Bioturbation"" title=""Bioturbation"">bioturbation</a>"|"
<dd class=""glossary"">The displacement and mixing of sediment particles by benthic fauna (animals) or flora (plants).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Blueschist"" title=""Blueschist"">blueschist</a>"|"
<dd class=""glossary"">A rock that forms by the metamorphism of <a href=""#basalt""><span title=""See entry on this page at § basalt"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">basalt</span></a> or rocks of similar composition at high pressures and low temperatures, approximately corresponding to a depth of <a href=""#15""><span title=""See entry on this page at § 15"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">to</span></a> and a temperature of <a href=""#200""><span title=""See entry on this page at § 200"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">to</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Boudinage"" title=""Boudinage"">boudin</a>"|"
<dd class=""glossary"">A structure formed by <a href=""#extension""><span title=""See entry on this page at § extension"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">extension</span></a>, in which a rigid tabular body such as a bed of <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstone</span></a> is stretched and deformed amidst less <a href=""https://en.wikipedia.org/wiki/Competence_(geology)"" title=""Competence (geology)"">competent</a> beds. See also <i><a href=""https://en.wikipedia.org/wiki/Boudinage"" title=""Boudinage"">boudinage</a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Boulder"" title=""Boulder"">boulder</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Bowen%27s_reaction_series"" title=""Bowen&#39;s reaction series"">Bowen's reaction series</a>"|"
<dd class=""glossary"">The sequence in which minerals crystallize from a cooling basaltic magma.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Brackish"" class=""mw-redirect"" title=""Brackish"">brackish</a>"|"
<dd class=""glossary"">Water with a salinity higher than freshwater but lower than seawater.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Breadcrust_bomb"" class=""mw-redirect"" title=""Breadcrust bomb"">breadcrust bomb</a>"|"
<dd class=""glossary"">A rounded, smooth-surfaced volcanic bomb with a cracked surface resembling a cracked crust of bread, hence the name.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Breccia"" title=""Breccia"">breccia</a>"|"
<dd class=""glossary"">A coarse-grained clastic rock consisting largely of angular fragments of existing rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fold_(geology)#Buckling"" title=""Fold (geology)"">buckling</a>"|"
<dd class=""glossary"">A failure mode of a rock subjected to high compressive stresses, where the actual compressive stress at the point of failure is less than the ultimate compressive stresses that the material is capable of withstanding. Typically, folding is thought to occur by simple buckling of a planar surface and its confining volume. The volume change is accommodated by layer parallel shortening the volume, which grows in thickness.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Calcareous"" title=""Calcareous"">calcareous</a>"|"
<dd class=""glossary"">Formed from or containing a high proportion of <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> in the form of <a href=""#calcite""><span title=""See entry on this page at § calcite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">calcite</span></a> or <a href=""https://en.wikipedia.org/wiki/Aragonite"" title=""Aragonite"">aragonite</a>, used of a sediment, sedimentary rock, or soil type.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Calcite"" title=""Calcite"">calcite</a>"|"
<dd class=""glossary"">A <a href=""#mineral""><span title=""See entry on this page at § mineral"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mineral</span></a> that is the crystalline form of <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> (CaCO<sub>3</sub>), showing trigonal symmetry and a great variety of mineral habits. It is one of the commonest of minerals in association with both igneous and sedimentary rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Calcite_sea"" title=""Calcite sea"">calcite sea</a>"|"
<dd class=""glossary"">A body of water in which low-magnesium <a href=""#calcite""><span title=""See entry on this page at § calcite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">calcite</span></a> is the primary inorganic marine <a href=""https://en.wikipedia.org/wiki/Calcium_carbonate"" title=""Calcium carbonate"">calcium carbonate</a> precipitate.</dd>
"
